localidade,cultura,data,ndvi
BORBOREMA,AMENDOIM,2004-01-17 00:00:00+00:00,0.7299
BORBOREMA,AMENDOIM,2004-01-25 00:00:00+00:00,0.7198
BORBOREMA,AMENDOIM,2004-02-02 00:00:00+00:00,0.7187
BORBOREMA,AMENDOIM,2004-02-10 00:00:00+00:00,0.7193
BORBOREMA,AMENDOIM,2004-02-18 00:00:00+00:00,0.7168
BORBOREMA,AMENDOIM,2004-02-26 00:00:00+00:00,0.7011
BORBOREMA,AMENDOIM,2004-03-05 00:00:00+00:00,0.6724
BORBOREMA,AMENDOIM,2004-03-13 00:00:00+00:00,0.6647
BORBOREMA,AMENDOIM,2004-03-21 00:00:00+00:00,0.6735
BORBOREMA,AMENDOIM,2004-03-29 00:00:00+00:00,0.6784
BORBOREMA,AMENDOIM,2004-04-06 00:00:00+00:00,0.6965
BORBOREMA,AMENDOIM,2004-04-14 00:00:00+00:00,0.7265
BORBOREMA,AMENDOIM,2004-04-22 00:00:00+00:00,0.7299
BORBOREMA,AMENDOIM,2004-04-30 00:00:00+00:00,0.7197
BORBOREMA,AMENDOIM,2004-05-08 00:00:00+00:00,0.7117
BORBOREMA,AMENDOIM,2004-05-16 00:00:00+00:00,0.7156
BORBOREMA,AMENDOIM,2004-05-24 00:00:00+00:00,0.7101
BORBOREMA,AMENDOIM,2004-06-01 00:00:00+00:00,0.6906
BORBOREMA,AMENDOIM,2004-06-09 00:00:00+00:00,0.6718
BORBOREMA,AMENDOIM,2004-06-17 00:00:00+00:00,0.671
BORBOREMA,AMENDOIM,2004-06-25 00:00:00+00:00,0.6689
BORBOREMA,AMENDOIM,2004-07-03 00:00:00+00:00,0.6847
BORBOREMA,AMENDOIM,2004-07-11 00:00:00+00:00,0.6919
BORBOREMA,AMENDOIM,2004-07-19 00:00:00+00:00,0.7009
BORBOREMA,AMENDOIM,2004-07-27 00:00:00+00:00,0.6595
BORBOREMA,AMENDOIM,2004-08-04 00:00:00+00:00,0.5689
BORBOREMA,AMENDOIM,2004-08-12 00:00:00+00:00,0.4615
BORBOREMA,AMENDOIM,2004-08-20 00:00:00+00:00,0.3823
BORBOREMA,AMENDOIM,2004-08-28 00:00:00+00:00,0.3233
BORBOREMA,AMENDOIM,2004-09-05 00:00:00+00:00,0.3191
BORBOREMA,AMENDOIM,2004-09-13 00:00:00+00:00,0.3067
BORBOREMA,AMENDOIM,2004-09-21 00:00:00+00:00,0.3678
BORBOREMA,AMENDOIM,2004-09-29 00:00:00+00:00,0.3931
BORBOREMA,AMENDOIM,2004-10-07 00:00:00+00:00,0.4089
BORBOREMA,AMENDOIM,2004-10-15 00:00:00+00:00,0.4442
BORBOREMA,AMENDOIM,2004-10-23 00:00:00+00:00,0.4842
BORBOREMA,AMENDOIM,2004-10-31 00:00:00+00:00,0.5453
BORBOREMA,AMENDOIM,2004-11-08 00:00:00+00:00,0.6165
BORBOREMA,AMENDOIM,2004-11-16 00:00:00+00:00,0.653
BORBOREMA,AMENDOIM,2004-11-24 00:00:00+00:00,0.7064
BORBOREMA,AMENDOIM,2004-12-02 00:00:00+00:00,0.7302
BORBOREMA,AMENDOIM,2004-12-10 00:00:00+00:00,0.7447
BORBOREMA,AMENDOIM,2004-12-18 00:00:00+00:00,0.76
BORBOREMA,AMENDOIM,2004-12-26 00:00:00+00:00,0.7519
BORBOREMA,AMENDOIM,2005-01-01 00:00:00+00:00,0.7654
BORBOREMA,AMENDOIM,2005-01-09 00:00:00+00:00,0.768
BORBOREMA,AMENDOIM,2005-01-17 00:00:00+00:00,0.7534
BORBOREMA,AMENDOIM,2005-01-25 00:00:00+00:00,0.7435
BORBOREMA,AMENDOIM,2005-02-02 00:00:00+00:00,0.7128
BORBOREMA,AMENDOIM,2005-02-10 00:00:00+00:00,0.7007
BORBOREMA,AMENDOIM,2005-02-18 00:00:00+00:00,0.6562
BORBOREMA,AMENDOIM,2005-02-26 00:00:00+00:00,0.6231
BORBOREMA,AMENDOIM,2005-03-06 00:00:00+00:00,0.5951
BORBOREMA,AMENDOIM,2005-03-14 00:00:00+00:00,0.6098
BORBOREMA,AMENDOIM,2005-03-22 00:00:00+00:00,0.6374
BORBOREMA,AMENDOIM,2005-03-30 00:00:00+00:00,0.6664
BORBOREMA,AMENDOIM,2005-04-07 00:00:00+00:00,0.6503
BORBOREMA,AMENDOIM,2005-04-15 00:00:00+00:00,0.6632
BORBOREMA,AMENDOIM,2005-04-23 00:00:00+00:00,0.6433
BORBOREMA,AMENDOIM,2005-05-01 00:00:00+00:00,0.646
BORBOREMA,AMENDOIM,2005-05-09 00:00:00+00:00,0.6517
BORBOREMA,AMENDOIM,2005-05-17 00:00:00+00:00,0.6901
BORBOREMA,AMENDOIM,2005-05-25 00:00:00+00:00,0.7059
BORBOREMA,AMENDOIM,2005-06-02 00:00:00+00:00,0.7061
BORBOREMA,AMENDOIM,2005-06-10 00:00:00+00:00,0.6529
BORBOREMA,AMENDOIM,2005-06-18 00:00:00+00:00,0.619
BORBOREMA,AMENDOIM,2005-06-26 00:00:00+00:00,0.574
BORBOREMA,AMENDOIM,2005-07-04 00:00:00+00:00,0.5363
BORBOREMA,AMENDOIM,2005-07-12 00:00:00+00:00,0.541
BORBOREMA,AMENDOIM,2005-07-20 00:00:00+00:00,0.5417
BORBOREMA,AMENDOIM,2005-07-28 00:00:00+00:00,0.5259
BORBOREMA,AMENDOIM,2005-08-05 00:00:00+00:00,0.5181
BORBOREMA,AMENDOIM,2005-08-13 00:00:00+00:00,0.4824
BORBOREMA,AMENDOIM,2005-08-21 00:00:00+00:00,0.4607
BORBOREMA,AMENDOIM,2005-08-29 00:00:00+00:00,0.4442
BORBOREMA,AMENDOIM,2005-09-06 00:00:00+00:00,0.4288
BORBOREMA,AMENDOIM,2005-09-14 00:00:00+00:00,0.414
BORBOREMA,AMENDOIM,2005-09-22 00:00:00+00:00,0.4314
BORBOREMA,AMENDOIM,2005-09-30 00:00:00+00:00,0.434
BORBOREMA,AMENDOIM,2005-10-08 00:00:00+00:00,0.4419
BORBOREMA,AMENDOIM,2005-10-16 00:00:00+00:00,0.477
BORBOREMA,AMENDOIM,2005-10-24 00:00:00+00:00,0.4956
BORBOREMA,AMENDOIM,2005-11-01 00:00:00+00:00,0.5037
BORBOREMA,AMENDOIM,2005-11-09 00:00:00+00:00,0.4766
BORBOREMA,AMENDOIM,2005-11-17 00:00:00+00:00,0.4134
BORBOREMA,AMENDOIM,2005-11-25 00:00:00+00:00,0.4223
BORBOREMA,AMENDOIM,2005-12-03 00:00:00+00:00,0.4393
BORBOREMA,AMENDOIM,2005-12-11 00:00:00+00:00,0.4551
BORBOREMA,AMENDOIM,2005-12-19 00:00:00+00:00,0.5128
BORBOREMA,AMENDOIM,2005-12-27 00:00:00+00:00,0.5539
BORBOREMA,AMENDOIM,2006-01-01 00:00:00+00:00,0.582
BORBOREMA,AMENDOIM,2006-01-09 00:00:00+00:00,0.606
BORBOREMA,AMENDOIM,2006-01-17 00:00:00+00:00,0.6165
BORBOREMA,AMENDOIM,2006-01-25 00:00:00+00:00,0.6615
BORBOREMA,AMENDOIM,2006-02-02 00:00:00+00:00,0.6877
BORBOREMA,AMENDOIM,2006-02-10 00:00:00+00:00,0.6833
BORBOREMA,AMENDOIM,2006-02-18 00:00:00+00:00,0.689
BORBOREMA,AMENDOIM,2006-02-26 00:00:00+00:00,0.6966
BORBOREMA,AMENDOIM,2006-03-06 00:00:00+00:00,0.7085
BORBOREMA,AMENDOIM,2006-03-14 00:00:00+00:00,0.73
BORBOREMA,AMENDOIM,2006-03-22 00:00:00+00:00,0.7371
BORBOREMA,AMENDOIM,2006-03-30 00:00:00+00:00,0.728
BORBOREMA,AMENDOIM,2006-04-07 00:00:00+00:00,0.7099
BORBOREMA,AMENDOIM,2006-04-15 00:00:00+00:00,0.6664
BORBOREMA,AMENDOIM,2006-04-23 00:00:00+00:00,0.6238
BORBOREMA,AMENDOIM,2006-05-01 00:00:00+00:00,0.601
BORBOREMA,AMENDOIM,2006-05-09 00:00:00+00:00,0.5977
BORBOREMA,AMENDOIM,2006-05-17 00:00:00+00:00,0.5981
BORBOREMA,AMENDOIM,2006-05-25 00:00:00+00:00,0.5877
BORBOREMA,AMENDOIM,2006-06-02 00:00:00+00:00,0.5796
BORBOREMA,AMENDOIM,2006-06-10 00:00:00+00:00,0.5635
BORBOREMA,AMENDOIM,2006-06-18 00:00:00+00:00,0.5325
BRASILIA,TRIGO,2008-08-20 00:00:00+00:00,0.2627
BRASILIA,TRIGO,2008-08-28 00:00:00+00:00,0.2418
BRASILIA,TRIGO,2008-09-05 00:00:00+00:00,0.2516
BRASILIA,TRIGO,2008-09-13 00:00:00+00:00,0.2621
BRASILIA,TRIGO,2008-09-21 00:00:00+00:00,0.2699
BRASILIA,TRIGO,2008-09-29 00:00:00+00:00,0.2686
BRASILIA,TRIGO,2008-10-07 00:00:00+00:00,0.2993
BRASILIA,TRIGO,2008-10-15 00:00:00+00:00,0.3158
BRASILIA,TRIGO,2008-10-23 00:00:00+00:00,0.3195
BRASILIA,TRIGO,2008-10-31 00:00:00+00:00,0.2982
BRASILIA,TRIGO,2008-11-08 00:00:00+00:00,0.302
BRASILIA,TRIGO,2008-11-16 00:00:00+00:00,0.3122
BRASILIA,TRIGO,2008-11-24 00:00:00+00:00,0.3525
BRASILIA,TRIGO,2008-12-02 00:00:00+00:00,0.4339
BRASILIA,TRIGO,2008-12-10 00:00:00+00:00,0.5741
BRASILIA,TRIGO,2008-12-18 00:00:00+00:00,0.7278
BRASILIA,TRIGO,2008-12-26 00:00:00+00:00,0.8235
BRASILIA,TRIGO,2009-01-01 00:00:00+00:00,0.8784
BRASILIA,TRIGO,2009-01-09 00:00:00+00:00,0.9084
BRASILIA,TRIGO,2009-01-17 00:00:00+00:00,0.816
BRASILIA,TRIGO,2009-01-25 00:00:00+00:00,0.7028
BRASILIA,TRIGO,2009-02-02 00:00:00+00:00,0.6063
BRASILIA,TRIGO,2009-02-10 00:00:00+00:00,0.5128
BRASILIA,TRIGO,2009-02-18 00:00:00+00:00,0.4861
BRASILIA,TRIGO,2009-02-26 00:00:00+00:00,0.4789
BRASILIA,TRIGO,2009-03-06 00:00:00+00:00,0.5415
BRASILIA,TRIGO,2009-03-14 00:00:00+00:00,0.6317
BRASILIA,TRIGO,2009-03-22 00:00:00+00:00,0.6586
BRASILIA,TRIGO,2009-03-30 00:00:00+00:00,0.7173
BRASILIA,TRIGO,2009-04-07 00:00:00+00:00,0.7873
BRASILIA,TRIGO,2009-04-15 00:00:00+00:00,0.7988
BRASILIA,TRIGO,2009-04-23 00:00:00+00:00,0.8091
BRASILIA,TRIGO,2009-05-01 00:00:00+00:00,0.8085
BRASILIA,TRIGO,2009-05-09 00:00:00+00:00,0.8036
BRASILIA,TRIGO,2009-05-17 00:00:00+00:00,0.7639
BRASILIA,TRIGO,2009-05-25 00:00:00+00:00,0.6812
BRASILIA,TRIGO,2009-06-02 00:00:00+00:00,0.5836
BRASILIA,TRIGO,2009-06-10 00:00:00+00:00,0.4949
BRASILIA,TRIGO,2009-06-18 00:00:00+00:00,0.3958
BRASILIA,TRIGO,2009-06-26 00:00:00+00:00,0.325
BRASILIA,TRIGO,2009-07-04 00:00:00+00:00,0.2894
BRASILIA,TRIGO,2009-07-12 00:00:00+00:00,0.2961
BRASILIA,TRIGO,2009-07-20 00:00:00+00:00,0.3089
BRASILIA,TRIGO,2009-07-28 00:00:00+00:00,0.3073
BRASILIA,TRIGO,2009-08-05 00:00:00+00:00,0.295
BRASILIA,TRIGO,2009-08-13 00:00:00+00:00,0.2783
BRASILIA,TRIGO,2009-08-21 00:00:00+00:00,0.2571
BRASILIA,TRIGO,2009-08-29 00:00:00+00:00,0.2308
BRASILIA,TRIGO,2009-09-06 00:00:00+00:00,0.2323
BRASILIA,TRIGO,2009-09-14 00:00:00+00:00,0.2749
BRASILIA,TRIGO,2009-09-22 00:00:00+00:00,0.3193
BRASILIA,TRIGO,2009-09-30 00:00:00+00:00,0.349
BRASILIA,TRIGO,2009-10-08 00:00:00+00:00,0.3701
BRASILIA,TRIGO,2009-10-16 00:00:00+00:00,0.3739
BRASILIA,TRIGO,2009-10-24 00:00:00+00:00,0.3475
BRASILIA,TRIGO,2009-11-01 00:00:00+00:00,0.3248
BRASILIA,TRIGO,2009-11-09 00:00:00+00:00,0.3513
BRASILIA,TRIGO,2009-11-17 00:00:00+00:00,0.4409
BRASILIA,TRIGO,2009-11-25 00:00:00+00:00,0.5432
BRASILIA,TRIGO,2009-12-03 00:00:00+00:00,0.6578
BRASILIA,TRIGO,2009-12-11 00:00:00+00:00,0.7681
BRASILIA,TRIGO,2009-12-19 00:00:00+00:00,0.8258
BRASILIA,TRIGO,2009-12-27 00:00:00+00:00,0.858
BRASILIA,TRIGO,2010-01-01 00:00:00+00:00,0.8421
BRASILIA,TRIGO,2010-01-09 00:00:00+00:00,0.7905
BRASILIA,TRIGO,2010-01-17 00:00:00+00:00,0.7361
BRASILIA,TRIGO,2010-01-25 00:00:00+00:00,0.6576
BRASILIA,TRIGO,2010-02-02 00:00:00+00:00,0.6596
BRASILIA,TRIGO,2010-02-10 00:00:00+00:00,0.6388
BRASILIA,TRIGO,2010-02-18 00:00:00+00:00,0.6242
BRASILIA,TRIGO,2010-02-26 00:00:00+00:00,0.6643
BRASILIA,TRIGO,2010-03-06 00:00:00+00:00,0.6802
BRASILIA,TRIGO,2010-03-14 00:00:00+00:00,0.6808
BRASILIA,TRIGO,2010-03-22 00:00:00+00:00,0.6866
BRASILIA,TRIGO,2010-03-30 00:00:00+00:00,0.6778
BRASILIA,TRIGO,2010-04-07 00:00:00+00:00,0.7007
BRASILIA,TRIGO,2010-04-15 00:00:00+00:00,0.6823
BRASILIA,TRIGO,2010-04-23 00:00:00+00:00,0.6724
BRASILIA,TRIGO,2010-05-01 00:00:00+00:00,0.6528
BRASILIA,TRIGO,2010-05-09 00:00:00+00:00,0.6152
BRASILIA,TRIGO,2010-05-17 00:00:00+00:00,0.5674
BRASILIA,TRIGO,2010-05-25 00:00:00+00:00,0.5447
BRASILIA,TRIGO,2010-06-02 00:00:00+00:00,0.5007
BRASILIA,TRIGO,2010-06-10 00:00:00+00:00,0.4526
BRASILIA,TRIGO,2010-06-18 00:00:00+00:00,0.4359
BRASILIA,TRIGO,2010-06-26 00:00:00+00:00,0.43
BRASILIA,TRIGO,2010-07-04 00:00:00+00:00,0.4115
BRASILIA,TRIGO,2010-07-12 00:00:00+00:00,0.3906
BRASILIA,TRIGO,2010-07-20 00:00:00+00:00,0.3612
BRASILIA,TRIGO,2010-07-28 00:00:00+00:00,0.3424
BRASILIA,TRIGO,2010-08-05 00:00:00+00:00,0.3135
BRASILIA,TRIGO,2010-08-13 00:00:00+00:00,0.2973
BRASILIA,TRIGO,2010-08-21 00:00:00+00:00,0.2991
BRASILIA,TRIGO,2010-08-29 00:00:00+00:00,0.3104
BRASILIA,TRIGO,2010-09-06 00:00:00+00:00,0.3185
BRASILIA,TRIGO,2010-09-14 00:00:00+00:00,0.3189
BRASILIA,TRIGO,2010-09-22 00:00:00+00:00,0.3026
BRASILIA,TRIGO,2010-09-30 00:00:00+00:00,0.2962
BRASILIA,TRIGO,2010-10-08 00:00:00+00:00,0.3013
BRASILIA,TRIGO,2010-10-16 00:00:00+00:00,0.3135
BRASILIA,TRIGO,2010-10-24 00:00:00+00:00,0.3293
BRASILIA,TRIGO,2010-11-01 00:00:00+00:00,0.3672
BRASILIA,TRIGO,2010-11-09 00:00:00+00:00,0.4257
BRASILIA,TRIGO,2010-11-17 00:00:00+00:00,0.5385
BRASILIA,TRIGO,2010-11-25 00:00:00+00:00,0.6111
BRASILIA,TRIGO,2010-12-03 00:00:00+00:00,0.5893
BRASILIA,TRIGO,2010-12-11 00:00:00+00:00,0.5051
BRASILIA,TRIGO,2010-12-19 00:00:00+00:00,0.3928
BRASILIA,TRIGO,2010-12-27 00:00:00+00:00,0.2608
BRASILIA,TRIGO,2011-01-01 00:00:00+00:00,0.2428
BRASILIA,TRIGO,2011-01-09 00:00:00+00:00,0.3267
BRASILIA,TRIGO,2011-01-17 00:00:00+00:00,0.5235
BRASILIA,TRIGO,2011-01-25 00:00:00+00:00,0.7769
BRASILIA,TRIGO,2011-02-02 00:00:00+00:00,0.8373
BRASILIA,TRIGO,2011-02-10 00:00:00+00:00,0.7822
BRASILIA,TRIGO,2011-02-18 00:00:00+00:00,0.6586
BRASILIA,TRIGO,2011-02-26 00:00:00+00:00,0.5095
BRASILIA,TRIGO,2011-03-06 00:00:00+00:00,0.3851
BRASILIA,TRIGO,2011-03-14 00:00:00+00:00,0.3105
BRASILIA,TRIGO,2011-03-22 00:00:00+00:00,0.3204
BRASILIA,TRIGO,2011-03-30 00:00:00+00:00,0.4413
BRASILIA,TRIGO,2011-04-07 00:00:00+00:00,0.4809
BRASILIA,TRIGO,2011-04-15 00:00:00+00:00,0.4949
BRASILIA,TRIGO,2011-04-23 00:00:00+00:00,0.5211
BRASILIA,TRIGO,2011-05-01 00:00:00+00:00,0.5473
BRASILIA,TRIGO,2011-05-09 00:00:00+00:00,0.5108
BRASILIA,TRIGO,2011-05-17 00:00:00+00:00,0.488
BRASILIA,TRIGO,2011-05-25 00:00:00+00:00,0.4487
BRASILIA,TRIGO,2011-06-02 00:00:00+00:00,0.4208
BRASILIA,TRIGO,2011-06-10 00:00:00+00:00,0.3883
BRASILIA,TRIGO,2011-06-18 00:00:00+00:00,0.3458
BRASILIA,TRIGO,2011-06-26 00:00:00+00:00,0.3226
BRASILIA,TRIGO,2011-07-04 00:00:00+00:00,0.3084
BRASILIA,TRIGO,2011-07-12 00:00:00+00:00,0.2905
BRASILIA,TRIGO,2011-07-20 00:00:00+00:00,0.2898
BRASILIA,TRIGO,2011-07-28 00:00:00+00:00,0.2672
BRASILIA,TRIGO,2011-08-05 00:00:00+00:00,0.2585
BRASILIA,TRIGO,2011-08-13 00:00:00+00:00,0.2409
BRASILIA,TRIGO,2011-08-21 00:00:00+00:00,0.2323
BRASILIA,TRIGO,2011-08-29 00:00:00+00:00,0.2273
BRASILIA,TRIGO,2011-09-06 00:00:00+00:00,0.2276
BRASILIA,TRIGO,2011-09-14 00:00:00+00:00,0.2338
BRASILIA,TRIGO,2011-09-22 00:00:00+00:00,0.2449
BRASILIA,TRIGO,2011-09-30 00:00:00+00:00,0.2497
BRASILIA,TRIGO,2008-08-12 00:00:00+00:00,0.2704
BRASILIA,TRIGO,2011-10-08 00:00:00+00:00,0.2578
BRASILIA,TRIGO,2011-10-16 00:00:00+00:00,0.2369
BRASILIA,TRIGO,2011-10-24 00:00:00+00:00,0.2527
BRASILIA,TRIGO,2011-11-01 00:00:00+00:00,0.3026
BRASILIA,TRIGO,2011-11-09 00:00:00+00:00,0.3838
BRASILIA,TRIGO,2011-11-17 00:00:00+00:00,0.5009
BRASILIA,TRIGO,2011-11-25 00:00:00+00:00,0.6314
BRASILIA,TRIGO,2011-12-03 00:00:00+00:00,0.7524
BRASILIA,TRIGO,2011-12-11 00:00:00+00:00,0.8409
BRASILIA,TRIGO,2011-12-19 00:00:00+00:00,0.8736
BRASILIA,TRIGO,2011-12-27 00:00:00+00:00,0.9096
BRASILIA,TRIGO,2012-01-01 00:00:00+00:00,0.924
BRASILIA,TRIGO,2012-01-09 00:00:00+00:00,0.925
BRASILIA,TRIGO,2012-01-17 00:00:00+00:00,0.9024
BRASILIA,TRIGO,2012-01-25 00:00:00+00:00,0.8002
BRASILIA,TRIGO,2012-02-02 00:00:00+00:00,0.6949
BRASILIA,TRIGO,2012-02-10 00:00:00+00:00,0.5904
BRASILIA,TRIGO,2012-02-18 00:00:00+00:00,0.4778
BRASILIA,TRIGO,2012-02-26 00:00:00+00:00,0.3908
BRASILIA,TRIGO,2012-03-05 00:00:00+00:00,0.325
BRASILIA,TRIGO,2012-03-13 00:00:00+00:00,0.3163
BRASILIA,TRIGO,2012-03-21 00:00:00+00:00,0.3686
BRASILIA,TRIGO,2012-03-29 00:00:00+00:00,0.4393
BRASILIA,TRIGO,2012-04-06 00:00:00+00:00,0.5094
BRASILIA,TRIGO,2012-04-14 00:00:00+00:00,0.5755
BRASILIA,TRIGO,2012-04-22 00:00:00+00:00,0.5964
BRASILIA,TRIGO,2012-04-30 00:00:00+00:00,0.5583
BRASILIA,TRIGO,2012-05-08 00:00:00+00:00,0.4973
BRASILIA,TRIGO,2012-05-16 00:00:00+00:00,0.4308
BRASILIA,TRIGO,2012-05-24 00:00:00+00:00,0.4184
BRASILIA,TRIGO,2012-06-01 00:00:00+00:00,0.4132
BRASILIA,TRIGO,2012-06-09 00:00:00+00:00,0.3644
BRASILIA,TRIGO,2012-06-17 00:00:00+00:00,0.3373
BRASILIA,TRIGO,2012-06-25 00:00:00+00:00,0.3193
BRASILIA,TRIGO,2012-07-03 00:00:00+00:00,0.2963
BRASILIA,TRIGO,2012-07-11 00:00:00+00:00,0.2945
BRASILIA,TRIGO,2012-07-19 00:00:00+00:00,0.2768
BRASILIA,TRIGO,2012-07-27 00:00:00+00:00,0.2815
BRASILIA,TRIGO,2012-08-04 00:00:00+00:00,0.2769
BRASILIA,TRIGO,2012-08-12 00:00:00+00:00,0.2598
BRASILIA,TRIGO,2012-08-20 00:00:00+00:00,0.2557
BRASILIA,TRIGO,2012-08-28 00:00:00+00:00,0.2667
BRASILIA,TRIGO,2012-09-05 00:00:00+00:00,0.2756
BRASILIA,TRIGO,2012-09-13 00:00:00+00:00,0.2794
BRASILIA,TRIGO,2012-09-21 00:00:00+00:00,0.2618
BRASILIA,TRIGO,2012-09-29 00:00:00+00:00,0.2657
BRASILIA,TRIGO,2012-10-15 00:00:00+00:00,0.2451
BRASILIA,TRIGO,2012-10-23 00:00:00+00:00,0.2139
BRASILIA,TRIGO,2012-10-31 00:00:00+00:00,0.2534
BRASILIA,TRIGO,2012-11-08 00:00:00+00:00,0.3155
BRASILIA,TRIGO,2012-10-07 00:00:00+00:00,0.2601
BRASILIA,TRIGO,2012-11-16 00:00:00+00:00,0.375
BRASILIA,TRIGO,2012-11-24 00:00:00+00:00,0.4426
BRASILIA,TRIGO,2012-12-02 00:00:00+00:00,0.5648
BRASILIA,TRIGO,2012-12-10 00:00:00+00:00,0.6772
BRASILIA,TRIGO,2012-12-18 00:00:00+00:00,0.7661
BRASILIA,TRIGO,2012-12-26 00:00:00+00:00,0.8089
BRASILIA,TRIGO,2013-01-01 00:00:00+00:00,0.8925
BRASILIA,TRIGO,2013-01-09 00:00:00+00:00,0.9344
BRASILIA,TRIGO,2013-01-17 00:00:00+00:00,0.9284
BRASILIA,TRIGO,2013-01-25 00:00:00+00:00,0.8832
BRASILIA,TRIGO,2013-02-02 00:00:00+00:00,0.8696
BRASILIA,TRIGO,2013-02-10 00:00:00+00:00,0.8219
BRASILIA,TRIGO,2013-02-18 00:00:00+00:00,0.7325
BRASILIA,TRIGO,2013-02-26 00:00:00+00:00,0.6568
BRASILIA,TRIGO,2013-03-06 00:00:00+00:00,0.5961
BRASILIA,TRIGO,2013-03-14 00:00:00+00:00,0.4859
